n_tplus,Tzplus
"1496,873046875","0,2453771805"
"1496,8966064453","-0,1207481575"
"1496,8850097656","-0,0470069429"
"1496,8804931641","0,1194173342"
"1496,8919677734","-0,1105725167"
"1496,8813476563","-0,5196667904"
"1496,8314208984","-0,4524437888"
"1496,7879638672","-0,1513415349"
"1496,7734375","-0,1285055371"
"1496,7611083984","-0,248138919"
"1496,7373046875","0,0788791932"
"1496,7448730469","0,4504534157"
"1496,7880859375","0,3541022108"
"1496,8220214844","-0,0777165588"
"1496,8145751953","-0,228011337"
"1496,7927246094","-0,2496337271"
"1496,7687988281","-0,500438823"
"1496,7208251953","-0,7680133424"
"1496,6472167969","-0,4100943375"
"1496,6079101563","0,1591413095"
"1496,6231689453","0,2597213653"
"1496,6480712891","0,0356514828"
"1496,6514892578","0,1400380342"
"1496,6649169922","0,3716804948"
"1496,7005615234","0,3334262107"
"1496,7325439453","0,1285208051"
"1496,7448730469","0,2672017403"
"1496,7705078125","0,4695045612"
"1496,8155517578","0,2659385977"
"1496,8410644531","-0,15273263"
"1496,8264160156","-0,1055804137"
"1496,8162841797","0,204608247"
"1496,8359375","0,2237042595"
"1496,857421875","-0,0241529449"
"1496,8551025391","0,0292158014"
"1496,8579101563","0,1346689187"
"1496,8708496094","-0,1563598848"
"1496,8558349609","-0,6462313411"
"1496,7938232422","-0,5703958665"
"1496,7391357422","-0,1578146454"
"1496,7239990234","0,0025433767"
"1496,7242431641","-0,072552844"
"1496,7172851563","0,1374715383"
"1496,73046875","0,410974237"
"1496,7698974609","0,2953272313"
"1496,7982177734","-0,0915988035"
"1496,7894287109","-0,059792357"
"1496,7836914063","0,151581585"
"1496,7982177734","0,099445636"
"1496,8077392578","-0,1798471293"
"1496,7905273438","-0,1134959496"
"1496,7796630859","0,0802768138"
"1496,7873535156","-0,0777521444"
"1496,7799072266","-0,4871542949"
"1496,7332763672","-0,4807672616"
"1496,6872558594","-0,2499253584"
"1496,6633300781","-0,2768003795"
"1496,6368408203","-0,5715364364"
"1496,5821533203","-0,4476337813"
"1496,5393066406",0
"1496,5393066406","0,2676698384"
"1496,5649414063","0,1389350099"
"1496,5782470703","0,2547781791"
"1496,6026611328","0,4953168163"
"1496,6501464844","0,4805612661"
"1496,6961669922","0,1863160792"
"1496,7139892578","0,243764349"
"1496,7373046875","0,4835036561"
"1496,7835693359","0,4515673682"
"1496,8267822266","0,139045763"
"1496,8400878906","0,2054046149"
"1496,8597412109","0,5372055118"
"1496,9111328125","0,5921225073"
"1496,9677734375","0,2972993599"
"1496,9962158203","0,2743293135"
"1497,0224609375","0,3711030675"
"1497,0579833984","0,1581813827"
"1497,0731201172","-0,3459652387"
"1497,0400390625","-0,3664840087"
"1497,0050048828","-0,019145209"
"1497,0031738281","0,1263438691"
"1497,0152587891","-0,0242322229"
"1497,0129394531","0,150381139"
